Id,Name,Year,Genre,DirectedBy,ProducedBy,Music,StoryBy,Company
movie-964,"Beregis avtomobilya",1966,Comedy,Eldar Ryazanov,<none>,Andrei Petrov,Emil Braginskiy,Artkino Pictures
movie-965,"Berkeley Square",1998,Drama,Martin Hutchings,Alison Davis,John Altman,Deborah Cook,BFS Video
movie-966,"Berlin Alexanderplatz",1980,Drama,Rainer Werner Fassbinder,Peter M?rthesheimer,Peer Raben,Alfred D?blin,Bavaria Film International
movie-967,"Berlin Calling",2008,Comedy,Hannes St?hr,Karsten Aurich,Paul Kalkbrenner,Hannes St?hr,Solopan
movie-968,"Berlin: Die Sinfonie der Grosstadt",1927,Documentary,Walter Ruttmann,Karl Freund,Edmund Meisel,Karl Freund,Fox Film Corporation
movie-969,"Bernard and the Genie",1991,Comedy,Paul Weiland,Peter Fincham,Howard Goodall,Richard Curtis,British Broadcasting Corporation (BBC)
movie-970,"Bernie",2011,Comedy,Richard Linklater,Michael Bassick,Graham Reynolds,Skip Hollandsworth,Alliance
movie-971,"Lady Oscar",1979,Drama,Jacques Demy,Kazuo Munakata,Michel Legrand,Jacques Demy,Toho Company
movie-972,"Beruseruku: Ougon jidai-hen I - Haou no tamago",2012,Animation,Toshiyuki Kubooka,Takanori Aki,Shir? Sagisu,Kentaro Miura,Madman Entertainment
movie-973,"Beruseruku: Ougon jidai-hen II - dorudorei koryaku",2012,Animation,Toshiyuki Kubooka,<none>,Shir? Sagisu,Kentaro Miura,Warner Bros.
movie-974,"Beruseruku: Ougon jidai-hen III - Kourin",2013,Animation,Toshiyuki Kubooka,<none>,Shir? Sagisu,Kentaro Miura,Warner Bros.
movie-975,"Bes Vakit",2006,Drama,Reha Erdem,?mer Atay,Arvo P?rt,Reha Erdem,Artificial Eye
movie-976,"Best Worst Movie",2009,Documentary,Michael Stephenson,Dana Ferniany,Bobby Tahouri,Michael Stephenson,Abramorama
movie-977,"Best in Show",2000,Comedy,Christopher Guest,Gordon Mark,Jeffery C.J. Vanston,Christopher Guest,Warner Bros. Entertainment
movie-978,"Betas",2013,Comedy,Michael Lehmann,Aaron Hilliard,Todd Casper,Ken Cheng,Amazon Instant Video
movie-979,"Betrayal",2013,Drama,Stephen Cragg,Alon Aranya,BT,David Zabel,American Broadcasting Company (ABC)
movie-980,"Better Call Saul",2015,Crime,Thomas Schnauz,Melissa Bernstein,Dave Porter,Vince Gilligan,American Movie Classics (AMC)
movie-981,"Better Luck Tomorrow",2002,Crime,Justin Lin,Julie Asato,Michael Gonzales,Ernesto Foronda,MTV Films
movie-982,"Better Off Dead...",1985,Comedy,Savage Steve Holland,Gil Friesen,Rupert Hine,Savage Steve Holland,Adams Filmi
movie-983,"Better Off Ted",2009,Comedy,Michael Fresco,Victor Fresco,Scott Clausen,Victor Fresco,American Broadcasting Company (ABC)
movie-984,"Better with You",2010,Comedy,Gary Halvorson,Holli Gailen,Matter Music,Shana Goldberg-Meehan,American Broadcasting Company (ABC)
movie-985,"Between Two Ferns with Zach Galifianakis",2008,Comedy,Scott Aukerman,BJ Porter,Daniel Walter,BJ Porter,Funnyordie.com
movie-986,"Beverly Hills Cop",1984,Action,Martin Brest,Jerry Bruckheimer,Harold Faltermeyer,Daniel Petrie Jr,Paramount Pictures
movie-987,"Beware the Batman",2013,Animation,Sam Liu,Amy McKenna,Frederik Wiedmann,Bob Kane,Cartoon Network
movie-988,"Bewitched",1964,Comedy,William Asher,Harry Ackerman,Warren Barker,Sol Saks,American Broadcasting Company (ABC)
movie-989,"Bey Yaar",2014,Comedy,Abhishek Jain,Chandresh Bhatt,Jigar,Niren Bhatt,CineMan Productions
movie-990,"Beynelmilel",2006,Comedy,Muharrem Gulmez,Necati Akpinar,Aytekin G. Atas,Sirri S?reyya ?nder,Diva Film
movie-991,"Svinal?ngorna",2010,Drama,Pernilla August,Gunnar Carlsson,Magnus Jarlbo,Susanna Alakoski,Lumi?re
movie-992,"Beyond Belief: Fact or Fiction",1997,Mystery,Tony Randel,Dick Clark,David E. Russo,Mike Scott,Fox Network
movie-993,"Beyond Borders",2003,Adventure,Martin Campbell,Dan Halsted,James Horner,Caspian Tredwell-Owen,Paramount Pictures
movie-994,"Gung ju fuk sau gei",2004,Drama,Ho-Cheung Pang,Catherine Hun,Ngai Lun Wong,Ho-Cheung Pang,United Entertainment
movie-995,"Beyond a Reasonable Doubt",2009,Crime,Peter Hyams,Faisal S. Al-Saud,David Shire,Peter Hyams,After Dark Films
movie-996,"Beyond the Blackboard",2011,Drama,Jeff Bleckner,Andrew Gottlieb,Jeff Beal,Camille Thomasson,Columbia Broadcasting System (CBS)
movie-997,"Beyond the Forest",1949,Drama,King Vidor,Henry Blanke,Max Steiner,Lenore J. Coffee,Warner Bros.
movie-998,"Beyond the Lights",2014,Drama,Gina Prince-Bythewood,Stephanie Allain,Mark Isham,Gina Prince-Bythewood,E1 Films Canada
movie-999,"Beyond the Mat",1999,Documentary,Barry W. Blaustein,Barry W. Blaustein,Nathan Barr,Barry W. Blaustein,Universal Pictures
movie-1000,"Beyond the Rocks",1922,Drama,Sam Wood,Jesse L. Lasky,Henny Vrienten,Elinor Glyn,Paramount Pictures
movie-1001,"Bez konca",1985,Drama,Krzysztof Kieslowski,Ryszard Chutkowski,Zbigniew Preisner,Krzysztof Kieslowski,New Yorker Films
movie-1002,"Bhaag Milkha Bhaag",2013,Biography,Rakeysh Omprakash Mehra,P.S. Bharathi,Shankar Mahadevan,Prasoon Joshi,Mind Blowing Films
movie-1003,"Bharatham",1991,Musical,Sibi Malayil,Mohanlal,Raveendran,Ambazhathil Karunakaran Lohithadas,Seven Arts Films
movie-1004,"Bheja Fry",2007,Comedy,Sagar Ballary,Sunil Doshi,Sagar Desai,Sagar Ballary,PVR Pictures
movie-1005,"Bhoothnath Returns",2014,Comedy,Nitesh Tiwari,Ashwani Chopra,Palak Muchhal,Piyush Gupta,B.R. Films
movie-1006,"Bhopal: A Prayer for Rain",2014,Drama,Ravi Kumar,Leszek Burzynski,Benjamin Wallfisch,Ravi Kumar,Revolver Entertainment
movie-1007,"Bian Lian",1996,Drama,Tian-Ming Wu,Mona Fong,Jiping Zhao,Wengui Chen,Primer Plano Film Group
movie-1008,"Bianca",1984,Comedy,Nanni Moretti,Achille Manzotti,Franco Piersanti,Nanni Moretti,Rosebud
movie-1009,"Bianco, rosso e Verdone",1981,Comedy,Carlo Verdone,Sergio Leone,Ennio Morricone,Leonardo Benvenuti,Medusa Distribuzione
movie-1010,"Bicentennial Man",1999,Comedy,Chris Columbus,Michael Barnathan,James Horner,Isaac Asimov,Buena Vista Pictures
movie-1011,"Bicho de Sete Cabe?as",2001,Drama,La?s Bodanzky,Luiz Bolognesi,Andr? Abujamra,Luiz Bolognesi,Columbia TriStar
movie-1012,"Bicycleran",1987,Drama,Mohsen Makhmalbaf,<none>,Madjid Entezami,Mohsen Makhmalbaf,Filmarti
movie-1013,"Bienvenido Mister Marshall",1953,Comedy,Luis Garc?a Berlanga,<none>,Jes?s Garc?a Leoz,Juan Antonio Bardem,Cicosa
movie-1014,"Bienvenue chez les Ch'tis",2008,Comedy,Dany Boon,Claude Berri,Philippe Rombi,Dany Boon,Path?
movie-1015,"Big",1988,Comedy,Penny Marshall,James L. Brooks,Howard Shore,Gary Ross,Twentieth Century Fox Film Corporation
movie-1016,"Big Bad Wolves",2013,Crime,Aharon Keshales,Leon Edery,Haim Frank Ilfman,Aharon Keshales,BestFilm.eu
movie-1017,"Big Business",1988,Comedy,Jim Abrahams,Bonnie Bruckheimer,Lee Holdridge,Dori Pierson,Buena Vista Pictures
movie-1018,"Big Eden",2000,Drama,Thomas Bezucha,Jennifer Chaiken,Joseph Conlan,Thomas Bezucha,PRO-FUN media Filmverleih
movie-1019,"Big Fan",2009,Comedy,Robert D. Siegel,Elan Bogarin,Philip Nashel-Watts,Robert D. Siegel,First Independent Pictures
movie-1020,"Big Fish",2003,Adventure,Tim Burton,Bruce Cohen,Danny Elfman,Daniel Wallace,Sony Pictures Entertainment (SPE)
movie-1021,"Big Hero 6",2014,Animation,Don Hall,Roy Conli,Henry Jackman,Jordan Roberts,CJ CGV Viet Nam
movie-1022,"Big Jake",1971,Action,George Sherman,Michael Wayne,Elmer Bernstein,Harry Julian Fink,National General Pictures
movie-1023,"Big Love",2006,Drama,Daniel Attias,Mark V. Olsen,Anton Sanko,Mark V. Olsen,Home Box Office (HBO)
movie-1024,"Big Night",1996,Drama,Campbell Scott,Elizabeth W. Alexander,Gary DeMichele,Stanley Tucci,Samuel Goldwyn Company
movie-1025,"Big Nothing",2006,Comedy,Jean-Baptiste Andrea,David Ball,Alan Anton,Jean-Baptiste Andrea,Path? Pictures International
movie-1026,"Boys Next Door, The",1985,Crime,Penelope Spheeris,Sandy Howard,George S. Clinton,Glen Morgan,Metropolitan Filmexport
movie-1027,"Big Time in Hollywood, FL",2015,Comedy,Dan Schimpf,Alex Anfanger,Leo Birenberg,Alex Anfanger,Comedy Central
movie-1028,"Big Trouble in Little China",1986,Action,John Carpenter,Keith Barish,John Carpenter,Gary Goldman,Twentieth Century Fox Film Corporation
movie-1029,"Big Wednesday",1978,Drama,John Milius,Tamara Asseyev,Basil Poledouris,John Milius,Warner Bros.
movie-1030,"Big Wolf on Campus",1999,Comedy,Erik Canuel,Abbie Charette,Danny Smith,Peter Knight,Fox Family Channel
movie-1031,"Bigger Stronger Faster*",2008,Documentary,Chris Bell,Terrance J. Aarnio,Dave Porter,Chris Bell,Cinescope Entertainment
movie-1032,"Bigger Than Life",1956,Drama,Nicholas Ray,James Mason,David Raksin,Cyril Hume,Twentieth Century Fox Film Corporation
movie-1033,"Bijit? Q",2001,Comedy,Takashi Miike,Reiko Arakawa,K?ji End?,Itaru Era,Pretty Pictures
movie-1034,"Biker Mice from Mars",1993,Animation,Tom Tataranowicz,Stan Lee,William Anderson,Eve Forward,2x2
movie-1035,"Bikur Ha-Tizmoret",2007,Comedy,Eran Kolirin,Ehud Bleiberg,Habib Shadah,Eran Kolirin,Sony Pictures Releasing
movie-1036,"Bill",2007,Comedy,Bernie Goldmann,Brian Collins,Ed Shearmur,Melisa Wallack,All Interactive Distribution
movie-1037,"Bill & Ted's Excellent Adventure",1989,Adventure,Stephen Herek,W.K. Border,David Newman,Chris Matheson,Orion Pictures
movie-1038,"Bill Bailey: Bewilderness",2001,Documentary,John Kaye Cooper,A.J. Pearce,Bill Bailey,Bill Bailey,United International Pictures
movie-1039,"Bill Bailey: Part Troll",2004,Comedy,Nick Morris,John Kaye Cooper,Bill Bailey,Bill Bailey,Talent Television
movie-1040,"Bill Nye, the Science Guy",1993,Documentary,Erren Gottlieb,Erren Gottlieb,Michael Greene,Scott Schaefer,Buena Vista Television
movie-1041,"Billa",2009,Action,Meher Ramesh,Dantuluri Narendra,Mani Sharma,Javed Akhtar,Creative Commercials
movie-1042,"Billy Budd",1962,Adventure,Peter Ustinov,A. Ronald Lubin,Antony Hopkins,Louis O. Coxe,Allied Artists Pictures
movie-1043,"Billy Elliot",2000,Comedy,Stephen Daldry,Charles Brand,Stephen Warbeck,Lee Hall,Universal Focus
movie-1044,"Billy Liar",1963,Comedy,John Schlesinger,Joseph Janni,Richard Rodney Bennett,Keith Waterhouse,Anglo-Amalgamated Film Distributors
movie-1045,"Billy's Hollywood Screen Kiss",1998,Comedy,Tommy O'Haver,Marcus Hu,Alan Ari Lazar,Tommy O'Haver,Cipa
movie-1046,"Biloxi Blues",1988,Comedy,Mike Nichols,Joseph M. Caracciolo,Georges Delerue,Neil Simon,Universal Pictures
movie-1047,"Bin-jip",2004,Crime,Ki-duk Kim,Yong-bae Choi,Slvian,Ki-duk Kim,Chungeorahm Film
movie-1048,"Biography",1987,Documentary,John Griffin,Kevin Burns,Max Surla,Peter Jones,A&E Television Networks
movie-1049,"Bird",1988,Biography,Clint Eastwood,Clint Eastwood,Lennie Niehaus,Joel Oliansky,Warner Bros.
movie-1050,"Birdman of Alcatraz",1962,Biography,John Frankenheimer,Stuart Millar,Elmer Bernstein,Guy Trosper,United Artists
movie-1051,"Birds Anonymous",1957,Animation,Friz Freleng,Edward Selzer,Milt Franklyn,Warren Foster,Warner Bros.
movie-1052,"Birdsong",2012,Drama,Philip Martin,Tim Bevan,Nicholas Hooper,Sebastian Faulks,British Broadcasting Corporation (BBC) Television
movie-1053,"Birdy",1984,Drama,Alan Parker,Ned Kopp,Peter Gabriel,William Wharton,TriStar Pictures
movie-1054,"Birlesen G?n?ller",2014,Drama,Hasan Kira?,Fatih G?k,Evanthia Reboutsika,Ozge Aras,Chantier Films
movie-1055,"Biruma no tategoto",1956,Drama,Kon Ichikawa,Masayuki Takagi,Akira Ifukube,Michio Takeyama,Contemporary Films
movie-1056,"Bis ans Ende der Welt",1991,Action,Wim Wenders,Paulo Branco,Graeme Revell,Michael Almereyda,Janus Films
movie-1057,"Bish?jo senshi S?r? M?n R",1993,Animation,Kunihiko Ikuhara,Iriya Azuma,Takanori Arisawa,Naoko Takeuchi,Hulu
movie-1058,"Bish?jo senshi S?r? M?n Crystal",2014,Animation,Hiroyuki Sato,Yu Kaminoki,Yasuharu Takanashi,Y?ji Kobayashi,Biggs
movie-1059,"Bish?jo senshi S?r? M?n R",1993,Animation,Kunihiko Ikuhara,Iriya Azuma,Takanori Arisawa,Naoko Takeuchi,Hulu
movie-1060,"Bish?jo senshi S?r? M?n R",1993,Animation,Kunihiko Ikuhara,Iriya Azuma,Takanori Arisawa,Naoko Takeuchi,Hulu
movie-1061,"Bitange i princeze",2005,Comedy,Goran Kulenovic,Dani Kosic,Mile Kekin,Goran Kulenovic,Hrvatska Radiotelevizija (HRT)
movie-1062,"Wag the Dog",1997,Comedy,Barry Levinson,Michael De Luca,Mark Knopfler,Larry Beinhart,New Line Cinema
