Id,Name,Year,Genre,DirectedBy,ProducedBy,Music,StoryBy,Company
movie-0,"$50K and a Call Girl: A Love Story",2014,Drama,Seth Grossman,Adam Beamer,Peter Bateman,Seth Grossman,FilmBuff
movie-1,"'71",2014,Action,Yann Demange,Leslie Finlay,David Holmes,Gregory Burke,Ad Vitam Distribution
movie-2,"'A' gai wak",1983,Action,Jackie Chan,Raymond Chow,Siu-Tin Lai,Jackie Chan,Metropolitan Filmexport
movie-3,"'A' gai wak 2",1987,Action,Jackie Chan,Raymond Chow,Siu-Tin Lai,Jackie Chan,Highlight Film
movie-4,"'Allo 'Allo!",1982,Comedy,David Croft,David Croft,David Croft,David Croft,British Broadcasting Corporation (BBC)
movie-5,"'G' Men",1935,Crime,William Keighley,Louis F. Edelman,Bernhard Kaun,Seton I. Miller,Warner Bros.
movie-6,"'I Know Where I'm Going!'",1945,Drama,Michael Powell,George R. Busby,Allan Gray,Michael Powell,Eagle-Lion Distributors Limited
movie-7,"'Round Midnight",1986,Drama,Bertrand Tavernier,Irwin Winkler,Herbie Hancock,David Rayfiel,Warner Bros. Entertainment
movie-8,"'Twas the Night Before Christmas",1974,Animation,Jules Bass,Jules Bass,Maury Laws,Clement Moore,Columbia Broadcasting System (CBS)
movie-9,"'night, Mother",1986,Drama,Tom Moore,Dann Byck,David Shire,Marsha Norman,Universal Pictures
movie-10,"*batteries not included",1987,Comedy,Matthew Robbins,Kathleen Kennedy,James Horner,Mick Garris,Universal Pictures
movie-11,"...E tu vivrai nel terrore! L'aldil?",1981,Horror,Lucio Fulci,Fabrizio De Angelis,Fabio Frizzi,Dardano Sacchetti,Alemannia/Arabella Filmverleih GmbH
movie-12,"...altrimenti ci arrabbiamo!",1974,Action,Marcello Fondato,Mario Cecchi Gori,Guido De Angelis,Vicente Coello,Filmayer
movie-13,"..And Justice for All",1979,Crime,Norman Jewison,Norman Jewison,Dave Grusin,Valerie Curtin,Columbia Pictures
movie-14,"1 - Nenokkadine",2014,Action,Sukumar,Gopichand Achanta,Devi Sri Prasad,Jakka Hariprasad,Eros International
movie-15,"1 - Nenokkadine",2014,Action,Sukumar,Gopichand Achanta,Devi Sri Prasad,Jakka Hariprasad,Eros International
movie-16,"10 Items or Less",2006,Comedy,Brad Silberling,Morgan Freeman,Antonio Pinto,Brad Silberling,Click Star
movie-17,"10 Rillington Place",1971,Biography,Richard Fleischer,Basil Appleby,John Dankworth,Clive Exton,Columbia Pictures Corporation
movie-18,"10 Things I Hate About You",1999,Comedy,Gil Junger,Jeffrey Chernov,Richard Gibbs,Karen McCullah,Buena Vista Pictures
movie-19,"1000 Ways to Die",2008,Comedy,Alex Harvey,Thom Beers,Jonathan Miller,Tom McMahon,Cool TV
movie-20,"101 Reykjav?k",2000,Comedy,Baltasar Korm?kur,Michael P. Aust,Damon Albarn,Hallgr?mur Helgason,101 Limited
movie-21,"10i entoli",2004,Crime,Yannis Lapatas,Panos Kokkinopoulos,Marios Strofalis,Vassilis Risvas,Alpha TV
movie-22,"11'09''01 - September 11",2002,Drama,Youssef Chahine,Alain Brigand,Michael Brook,Youssef Chahine,Bac Films
movie-23,"11:14",2003,Comedy,Greg Marcks,Mark Damon,Clint Mansell,Greg Marcks,MDP Worldwide
movie-24,"Twelve",2010,Action,Joel Schumacher,Michael Bederman,Harry Gregson-Williams,Jordan Melamed,Benelux Film Distributors
movie-25,"12 Angry Men",1957,Crime,Sidney Lumet,Henry Fonda,Kenyon Hopkins,Reginald Rose,United Artists
movie-26,"12 Monkeys",2015,Adventure,David Grossman,Michael Wray,Paul Linford,Travis Fickett,Syfy
movie-27,"Twelve O'Clock High",1949,Action,Henry King,Darryl F. Zanuck,Alfred Newman,Sy Bartlett,Twentieth Century Fox Film Corporation
movie-28,"12 Years a Slave",2013,Biography,Steve McQueen,Dede Gardner,Hans Zimmer,John Ridley,Twentieth Century Fox Film Corporation
movie-29,"12 and Holding",2005,Drama,Michael Cuesta,Brian Bell,Pierre F?ldes,Anthony Cipriano,Alfa Films
movie-30,"12 kokuki",2002,Animation,Tsuneo Kobayashi,Michiyuki Honma,Kunihiko Ryo,Sh? Aikawa,Anime Works
movie-31,"12 stulev",1971,Comedy,Leonid Gayday,<none>,Aleksandr Zatsepin,Ilya Ilf,Artkino Pictures
movie-32,"12 stulev",1971,Comedy,Leonid Gayday,<none>,Aleksandr Zatsepin,Ilya Ilf,Artkino Pictures
movie-33,"120",2008,Drama,?zhan Eren,?zhan Eren,?zhan Eren,?zhan Eren,Cinegraph
movie-34,"127 Hours",2010,Adventure,Danny Boyle,Bernard Bellew,A.R. Rahman,Danny Boyle,Twentieth Century Fox Film Corporation
movie-35,"12:01",1993,Comedy,Jack Sholder,Bob Degus,Peter Rodgers Melnick,Richard Lupoff,Connexion Film
movie-36,"13 Rue Madeleine",1947,Action,Henry Hathaway,Louis De Rochemont,David Buttolph,John Monks Jr,Twentieth Century Fox Film Corporation
movie-37,"13 Tzameti",2005,Crime,G?la Babluani,G?la Babluani,Arnaud Taillefer,G?la Babluani,MK2 Diffusion
movie-38,"13 game sayawng",2006,Comedy,Chookiat Sakveerakul,Prachya Pinkaew,Kitti Kuremanee,Eakasit Thairaat,Cathay-Keris Films
movie-39,"13B: Fear Has a New Address",2009,Drama,Vikram K. Kumar,Mano Akkineni,Shankar Mahadevan,Abhinav Kashyap,Reliance Big Pictures
movie-40,"1408",2007,Horror,Mikael H?fstr?m,Kelly Dennis,Gabriel Yared,Matt Greenberg,Metro-Goldwyn-Mayer (MGM)
movie-41,"1492: Conquest of Paradise",1992,Adventure,Ridley Scott,Rose Bosch,Vangelis,Rose Bosch,Gaumont
movie-42,"16 Blocks",2006,Action,Richard Donner,D.J. Carson,Klaus Badelt,Richard Wenk,Monolith Plus
movie-43,"1776",1972,Drama,Peter H. Hunt,Jack L. Warner,Sherman Edwards,Sherman Edwards,Columbia Pictures
movie-44,"180? South",2010,Documentary,Chris Malloy,Liesl Copland,Isaac Brock,Jeff Johnson,Glassy Co. Ltd.
movie-45,"19-2",2014,Drama,Louis Choquette,Luc Ch?telain,Nicolas Maranda,R?al Boss?,Bravo Network Canada
movie-46,"1942: A Love Story",1994,Romance,Vidhu Vinod Chopra,Vidhu Vinod Chopra,Rahul Dev Burman,Sanjay Leela Bhansali,Digital Entertainment (DEI)
movie-47,"1944",2015,Drama,Elmo N?ganen,Maria Avdjushko,Jaak J?risson,Leo Kunnas,Garsu Pasaulio Irasai
movie-48,"1971",2014,Documentary,Johanna Hamilton,Katy Chevigny,Philip Sheppard,Johanna Hamilton,Yleisradio (YLE)
movie-49,"1983",2014,Family,Abrid Shine,Lal Jose,Gopi Sunder,Abrid Shine,LJ Films
movie-50,"Nineteen Eighty-Four",1984,Drama,Michael Radford,Al Clark,Dominic Muldowney,George Orwell,Atlantic Releasing Corporation
movie-51,"2 Coelhos",2012,Action,Afonso Poyart,Angela Farinello,Andr? Abujamra,Afonso Poyart,Imagem Filmes
movie-52,"2 Days in Paris",2007,Comedy,Julie Delpy,Julie Delpy,Julie Delpy,Julie Delpy,Bir Film
movie-53,"2 Filhos de Francisco: A Hist?ria de Zez? di Camargo & Luciano",2005,Biography,Breno Silveira,Ilana Brakarz,Caetano Veloso,Carolina Kotscho,Columbia TriStar
movie-54,"2 Guns",2013,Action,Baltasar Korm?kur,Brandt Andersen,Clinton Shorter,Blake Masters,Foresight Unlimited
movie-55,"2 States",2014,Comedy,Abhishek Varman,Marijke Desouza,Shankar Mahadevan,Chetan Bhagat,IG Interactive Entertainment
movie-56,"2 Stupid Dogs",1993,Animation,Donovan Cook,Donovan Cook,Chris Desmond,Donovan Cook,Cartoon Network
movie-57,"20,000 Days on Earth",2014,Documentary,Iain Forsyth,Thomas Benski,Nick Cave,Nick Cave,Carlotta Films
movie-58,"20,000 Leagues Under the Sea",1954,Adventure,Richard Fleischer,Walt Disney,Paul J. Smith,Earl Felton,Buena Vista Film Distribution Company
movie-59,"20,000 Years in Sing Sing",1932,Crime,Michael Curtiz,Raymond Griffith,Bernhard Kaun,Lewis E. Lawes,Warner Bros.
movie-60,"2010",1984,Mystery,Peter Hyams,Peter Hyams,David Shire,Arthur C. Clarke,Metro-Goldwyn-Mayer (MGM)
movie-61,"2046",2004,Drama,Kar Wai Wong,Wai-Chung Chan,Shigeru Umebayashi,Kar Wai Wong,Block 2 Pictures
movie-62,"21",2008,Biography,Robert Luketic,William S. Beasley,David Sardy,Peter Steinfeld,Buena Vista Sony Pictures Releasing (BVSPR)
movie-63,"21 Grams",2003,Crime,Alejandro Gonz?lez I??rritu,Guillermo Arriaga,Gustavo Santaolalla,Guillermo Arriaga,Focus Features
movie-64,"21 Jump Street",2012,Action,Phil Lord,Stephen J. Cannell,Mark Mothersbaugh,Michael Bacall,AcmeFilm
movie-65,"22 Female Kottayam",2012,Crime,Aashiq Abu,O.G. Sunil,Bijibal,Abhilash Kumar,FILM Brewery
movie-66,"22 Jump Street",2014,Action,Phil Lord,Will Allegra,Mark Mothersbaugh,Michael Bacall,Big Picture 2 Films
movie-67,"Number 23, The",2007,Drama,Joel Schumacher,Richard Brener,Harry Gregson-Williams,Fernley Phillips,New Line Cinema
movie-68,"24",2001,Action,Jon Cassar,Paul Gadd,Sean Callery,Robert Cochran,20th Century Fox Television
movie-69,"24 7: Twenty Four Seven",1997,Comedy,Shane Meadows,George Faber,Boo Hewerdine,Paul Fraser,Finnkino
movie-70,"24: Live Another Day",2014,Action,Jon Cassar,Jon Cassar,Sean Callery,Robert Cochran,Fox Network
movie-71,"25th Hour",2002,Crime,Spike Lee,Julia Chasman,Terence Blanchard,David Benioff,Buena Vista Pictures
movie-72,"28 Days Later...",2002,Horror,Danny Boyle,Robert How,John Murphy,Alex Garland,Twentieth Century Fox Film Corporation
movie-73,"28 Weeks Later",2007,Horror,Juan Carlos Fresnadillo,Bernard Bellew,John Murphy,Rowan Joffe,Twentieth Century Fox Film Corporation
movie-74,"29th Street",1991,Comedy,George Gallo,Jerry A. Baerwitz,William Olvis,Frank Pesce,Twentieth Century Fox Film Corporation
movie-75,"2:37",2006,Drama,Murali K. Thalluri,Jean Engela,Mark Tschanz,Murali K. Thalluri,Central Film Verleih
movie-76,"2gether",2000,Drama,Nigel Dick,Bill Bannerman,Camara Kambon,Brian Gunn,CITY-TV
movie-77,"Spider-Man 3",2007,Action,Sam Raimi,Avi Arad,Christopher Young,Sam Raimi,Sony Pictures Entertainment (SPE)
movie-78,"3 Deewarein",2003,Crime,Nagesh Kukunoor,Elahe Hiptoola,Salim Merchant,Nagesh Kukunoor,Schr?der Media
movie-79,"3 Godfathers",1948,Drama,John Ford,Merian C. Cooper,Richard Hageman,Laurence Stallings,Metro-Goldwyn-Mayer (MGM)
movie-80,"3 Idiots",2009,Comedy,Rajkumar Hirani,Vidhu Vinod Chopra,Shantanu Moitra,Rajkumar Hirani,Reliance Big Pictures
movie-81,"3 Women",1977,Drama,Robert Altman,Robert Altman,Gerald Busby,Robert Altman,Twentieth Century Fox Film Corporation
movie-82,"30 Days of Night",2007,Horror,David Slade,Ted Adams,Brian Reitzell,Steve Niles,Benelux Film Distributors
movie-83,"30 Rock",2006,Comedy,Don Scardino,Tina Fey,Jeff Richmond,Tina Fey,National Broadcasting Company (NBC)
movie-84,"30 for 30",2009,Documentary,Jonathan Hock,John Dahl,Joel Beckerman,Aaron Cohen,Entertainment & Sports Programming Network (ESPN)
movie-85,"300",2006,Action,Zack Snyder,Steve Barnett,Tyler Bates,Zack Snyder,Warner Bros.
movie-86,"31 minutos",2003,Comedy,Alvaro D?az,Karla Estrada,Pablo Ilabaca,Daniel Castro,Televisi?n Nacional de Chile
movie-87,"35 rhums",2008,Drama,Claire Denis,Karl Baumgartner,Tindersticks,Claire Denis,Cinema Guild
movie-88,"36 Hours",1964,Thriller,George Seaton,William Perlberg,Dimitri Tiomkin,George Seaton,Metro-Goldwyn-Mayer (MGM)
movie-89,"Quai des Orf?vres",1947,Crime,Henri-Georges Clouzot,Roger De Venloo,Francis Lopez,Stanislas-Andr? Steeman,Coronis
movie-90,"37 Days",2014,History,Justin Hardy,Lucy Bassnett-McGuire,Andrew Simon McAllister,Mark Hayhurst,BBC Worldwide
movie-91,"3:10 to Yuma",2007,Adventure,James Mangold,Stuart M. Besser,Marco Beltrami,Halsted Welles,Lionsgate
movie-92,"3rd Rock from the Sun",1996,Comedy,Terry Hughes,Bill Martin,Jeff Sudakin,Bonnie Turner,National Broadcasting Company (NBC)
movie-93,"4 mosche di velluto grigio",1971,Crime,Dario Argento,Salvatore Argento,Ennio Morricone,Dario Argento,Paramount Pictures
movie-94,"42",2013,Biography,Brian Helgeland,Jason Clark,Mark Isham,Brian Helgeland,Warner Bros.
movie-95,"48 Hrs.",1982,Action,Walter Hill,D. Constantine Conte,James Horner,Roger Spottiswoode,Paramount Pictures
movie-96,"49th Parallel",1941,Drama,Michael Powell,Michael Powell,Ralph Vaughan Williams,Emeric Pressburger,General Film Distributors (GFD)
movie-97,"5 Fingers",1952,Drama,Joseph L. Mankiewicz,Otto Lang,Bernard Herrmann,Michael Wilson,Twentieth Century Fox Film Corporation
movie-98,"5 to 7",2014,Comedy,Victor Levin,Charles M. Barsamian,Danny Bensi,Victor Levin,IFC Films
movie-99,"50 First Dates",2004,Comedy,Peter Segal,Scott Bankston,Teddy Castellucci,George Wing,Columbia Pictures
movie-100,"50/50",2011,Comedy,Jonathan Levine,Nicole Brown,Michael Giacchino,Will Reiser,Summit Entertainment
movie-101,"55 Days at Peking",1963,Action,Nicholas Ray,Samuel Bronston,Dimitri Tiomkin,Robert Hamer,Allied Artists Pictures
movie-102,"5x2",2004,Drama,Fran?ois Ozon,Olivier Delbosc,Philippe Rombi,Fran?ois Ozon,Alfa Films
movie-103,"Insider, The",1999,Biography,Michael Mann,Pieter Jan Brugge,Pieter Bourke,Marie Brenner,Spyglass Entertainment
movie-104,"61*",2001,Biography,Billy Crystal,Robert F. Colesberry,Marc Shaiman,Hank Steinberg,Home Box Office (HBO)
movie-105,"666 Park Avenue",2012,Drama,Robert Duncan McNeill,Dennis Kinski,Trevor Morris,Gabriella Pierce,American Broadcasting Company (ABC)
movie-106,"678",2010,Drama,Mohamed Diab,Bushra,Hani Adel,Mohamed Diab,Arsenal Filmverleih
movie-107,"6Teen",2004,Animation,Karen Lessman,Dave Sharples,Don Breithaupt,Terry McGurrin,Ketnet
movie-108,"7 Faces of Dr. Lao",1964,Fantasy,George Pal,George Pal,Leigh Harline,Charles Beaumont,Metro-Goldwyn-Mayer (MGM)
movie-109,"7 Numara",2000,Comedy,Haluk Bener,Oya Y?ce,Serdar Kalafatoglu,Volkan Girgin,Fora Film
movie-110,"7 cajas",2012,Thriller,Juan Carlos Maneglia,Richard Careaga,Fran Villalba,Juan Carlos Maneglia,Breaking Glass Pictures
movie-111,"7-beon-bang-ui seon-mul",2013,Comedy,Hwan-kyung Lee,Min Ki Kim,Dong-jun Lee,Hwan-kyung Lee,Cathay-Keris Films
movie-112,"77 Sunset Strip",1958,Action,George Waggner,William T. Orr,William Lava,Montgomery Pittman,American Broadcasting Company (ABC)
movie-113,"7th Heaven",1996,Drama,Joel J. Feigenbaum,Brenda Hampton,Dan Foliart,Brenda Hampton,WB Television Network
movie-114,"8 Simple Rules... for Dating My Teenage Daughter",2002,Comedy,James Widdoes,Michael Bostick,Dan Foliart,Tracy Gamble,Buena Vista Television
movie-115,"8 femmes",2002,Comedy,Fran?ois Ozon,St?phane C?l?rier,Krishna Levy,Marina de Van,Celluloid Dreams
movie-116,"84 Charing Cross Road",1987,Biography,David Hugh Jones,Randy Auerbach,George Fenton,Helene Hanff,Columbia Pictures
movie-117,"8MM",1999,Crime,Joel Schumacher,Joseph M. Caracciolo,Mychael Danna,Andrew Kevin Walker,Sony Pictures Entertainment (SPE)
movie-118,"9 rota",2005,Action,Fedor Bondarchuk,Fedor Bondarchuk,Dato Evgenidze,Iskander Galiev,Well Go USA Entertainment
movie-119,"9/11",2002,Documentary,James Hanlon,Richard Barber,Richard Fiocca,Tom Forman,CBS Worldwide Inc.
movie-120,"99 Homes",2014,Drama,Ramin Bahrani,Mohammed Al Turki,Antony Partos,Ramin Bahrani,Broad Green Pictures
movie-121,"99 River Street",1953,Action,Phil Karlson,Edward Small,Arthur Lange,Robert Smith,United Artists
movie-122,"99 francs",2007,Comedy,Jan Kounen,R?mi Burah,Jean-Jacques Hertz,Nicolas Charlet,Path?
movie-123,"@midnight",2013,Comedy,Martin Pasetta,Robert Ben Garant,Michael Farrell,Darren Belitsky,Comedy Central
movie-124,"Beautiful Mind, A",2001,Biography,Ron Howard,Brian Grazer,James Horner,Akiva Goldsman,Universal Pictures
movie-125,"Better Life, A",2011,Drama,Chris Weitz,Jami Gertz,Alexandre Desplat,Eric Eason,Entertainment One
movie-126,"Big Hand for the Little Lady, A",1966,Western,Fielder Cook,Fielder Cook,David Raksin,Sidney Carroll,Warner Bros.
movie-127,"Bit of Fry and Laurie, A",1987,Comedy,Roger Ordish,Roger Ordish,Hugh Laurie,Stephen Fry,British Broadcasting Corporation
movie-128,"Boy Named Charlie Brown, A",1969,Animation,Bill Melendez,Bill Melendez,Vince Guaraldi,Charles M. Schulz,National General Pictures
movie-129,"Boy and His Dog, A",1975,Comedy,L.Q. Jones,Tom Connors,Tim McIntire,L.Q. Jones,First Run Features
movie-130,"Bridge Too Far, A",1977,Drama,Richard Attenborough,Joseph E. Levine,John Addison,Cornelius Ryan,United Artists
movie-131,"Brief History of Time, A",1991,Documentary,Errol Morris,Jan Euden,Philip Glass,Stephen Hawking,Triton Pictures
movie-132,"Bronx Tale, A",1993,Crime,Robert De Niro,Robin Chambers,Butch Barbella,Chazz Palminteri,Savoy Pictures
movie-133,"Bucket of Blood, A",1959,Comedy,Roger Corman,Roger Corman,Fred Katz,Charles B. Griffith,American International Pictures (AIP)
movie-134,"Bug's Life, A",1998,Animation,John Lasseter,Darla K. Anderson,Randy Newman,John Lasseter,Buena Vista Pictures
movie-135,"Can??o de Lisboa, A",1933,Comedy,Jos? Cottinelli Telmo,Jo?o Ortigao Ramos,Ra?l Portela,Jos? Cottinelli Telmo,Filmes Castello Lopes
movie-136,"Canterbury Tale, A",1944,Drama,Michael Powell,Jock Laurence,Allan Gray,Michael Powell,Eagle-Lion Distributors Limited
movie-137,"Charlie Brown Christmas, A",1965,Animation,Bill Melendez,Bill Melendez,Vince Guaraldi,Charles M. Schulz,Columbia Broadcasting System (CBS)
movie-138,"Charlie Brown Thanksgiving, A",1973,Animation,Bill Melendez,Bill Melendez,Vince Guaraldi,Charles M. Schulz,Columbia Broadcasting System (CBS)
movie-139,"Child Is Waiting, A",1963,Drama,John Cassavetes,Stanley Kramer,Ernest Gold,Abby Mann,United Artists
movie-140,"Christmas Carol, A",2009,Animation,Robert Zemeckis,Steven J. Boyd,Alan Silvestri,Charles Dickens,Walt Disney Studios Motion Pictures
movie-141,"Christmas Story, A",1983,Comedy,Bob Clark,Bob Clark,Paul Zaza,Jean Shepherd,MGM/UA Entertainment Company
movie-142,"Chump at Oxford, A",1940,Comedy,Alfred J. Goulding,Hal Roach Jr,Marvin Hatley,Charley Rogers,United Artists
movie-143,"Civil Action, A",1998,Drama,Steven Zaillian,Henry J. Golas,Danny Elfman,Jonathan Harr,Buena Vista Pictures
movie-144,"Claymation Christmas Celebration, A",1987,Animation,Will Vinton,David Altschul,Patric Miller,Ralph Liddle,Columbia Broadcasting System (CBS)
movie-145,"Close Shave, A",1995,Animation,Nick Park,Peter Lord,Julian Nott,Bob Baker,British Broadcasting Corporation (BBC)
movie-146,"Cock and Bull Story, A",2005,Comedy,Michael Winterbottom,Jeff Abberley,Edward Nogria,Laurence Sterne,Redbus Film Distribution
movie-147,"Colbert Christmas: The Greatest Gift of All!, A",2008,Comedy,Jim Hoskinson,Meredith Bennett,David Javerbaum,Michael Brumm,Comedy Central
movie-148,"Corny Concerto, A",1943,Family,Robert Clampett,Leon Schlesinger,Carl W. Stalling,Frank Tashlin,Warner Bros.
movie-149,"Crude Awakening: The Oil Crash, A",2006,Documentary,Basil Gelpke,Basil Gelpke,Philip Glass,Basil Gelpke,Columbus Film
movie-150,"Cry for Help: The Tracey Thurman Story, A",1989,Drama,Robert Markowitz,Lee Miller,Nicholas Pike,Beth Sullivan,National Broadcasting Company (NBC)
movie-151,"Dangerous Method, A",2011,Biography,David Cronenberg,Tiana Alexandra,Howard Shore,Christopher Hampton,AcmeFilm
movie-152,"Day at the Races, A",1937,Comedy,Sam Wood,Max Siegel,Franz Waxman,Robert Pirosh,Metro-Goldwyn-Mayer (MGM)
movie-153,"Different World, A",1987,Comedy,Debbie Allen,Marcy Carsey,Stu Gardner,Bill Cosby,Carsey-Werner Distribution
movie-154,"Dog's Breakfast, A",2007,Comedy,David Hewlett,Jennifer Johnson,Tim Williams,David Hewlett,Metro-Goldwyn-Mayer (MGM)
movie-155,"Mondo cane",1962,Documentary,Paolo Cavara,Gualtiero Jacopetti,Riz Ortolani,Paolo Cavara,Times Film Corporation
movie-156,"Double Life, A",1947,Crime,George Cukor,Michael Kanin,Mikl?s R?zsa,Ruth Gordon,Universal Pictures
movie-157,"Dry White Season, A",1989,Drama,Euzhan Palcy,Tim Hampton,Dave Grusin,Andr? P. Brink,Metro-Goldwyn-Mayer (MGM)
movie-158,"Face in the Crowd, A",1957,Drama,Elia Kazan,Elia Kazan,Tom Glazer,Budd Schulberg,Warner Bros.
movie-159,"Family Thing, A",1996,Comedy,Richard Pearce,Todd Black,Charles Gross,Billy Bob Thornton,Chapel Distribution
movie-160,"Few Good Men, A",1992,Drama,Rob Reiner,David Brown,Marc Shaiman,Aaron Sorkin,Columbia Pictures
movie-161,"Fish Called Wanda, A",1988,Comedy,Charles Crichton,Steve Abbott,John Du Prez,John Cleese,Metro-Goldwyn-Mayer (MGM)
movie-162,"Foreign Affair, A",1948,Comedy,Billy Wilder,Charles Brackett,Friedrich Hollaender,Charles Brackett,Paramount Pictures
movie-163,"Garfield Christmas Special, A",1987,Animation,Phil Roman,Phil Roman,Ed Bogas,Jim Davis,20th Century Fox Home Entertainment
movie-164,"Gifted Man, A",2011,Drama,David Platt,Chris Leanza,W.G. Snuffy Walden,Susannah Grant,Columbia Broadcasting System (CBS)
movie-165,"Girl Like Me: The Gwen Araujo Story, A",2006,Drama,Agnieszka Holland,Gloria Allred,Jan A.P. Kaczmarek,Shelley Evans,Lifetime Movie Network
movie-166,"Good Year, A",2006,Comedy,Ridley Scott,Mark Allan,Marc Streitenfeld,Marc Klein,20th Century Fox
movie-167,"Goofy Movie, A",1995,Animation,Kevin Lima,Leslie Hough,Carter Burwell,Jymn Magon,Buena Vista Pictures
movie-168,"Grand Day Out, A",1989,Animation,Nick Park,Rob Copeland,Julian Nott,Nick Park,Channel 4 Television Corporation
movie-169,"Guide to Recognizing Your Saints, A",2006,Crime,Dito Montiel,Rene Bastian,Jonathan Elias,Dito Montiel,First Look International
movie-170,"Haunting, A",2005,Documentary,David Haycox,Nicolas Valcour,Ed Smart,Joseph Maddrey,Discovery Channel
movie-171,"History of Britain, A",2000,Documentary,Clare Beavan,Liz Hartford,John Harle,Simon Schama,A&E Home Video
movie-172,"History of Violence, A",2005,Crime,David Cronenberg,Kent Alterman,Howard Shore,John Wagner,New Line Cinema
movie-173,"Home at the End of the World, A",2004,Drama,Michael Mayer,John Hart,Duncan Sheik,Michael Cunningham,Alfa Films
movie-174,"Home of Our Own, A",1993,Biography,Tony Bill,Helen Buck Bartlett,Michael Convertino,Patrick Sheane Duncan,Cineplex Odeon Films
movie-175,"King in New York, A",1957,Comedy,Charles Chaplin,Charles Chaplin,Charles Chaplin,Charles Chaplin,Archway Film Distributors Ltd.
movie-176,"Knight's Tale, A",2001,Action,Brian Helgeland,Todd Black,Carter Burwell,Brian Helgeland,Columbia Pictures
movie-177,"Late Quartet, A",2012,Drama,Yaron Zilberman,Vanessa Coifman,Angelo Badalamenti,Seth Grossman,Entertainment One
movie-178,"League of Their Own, A",1992,Comedy,Penny Marshall,Elliot Abbott,Hans Zimmer,Kim Wilson,Columbia Pictures
movie-179,"Letter to Three Wives, A",1949,Drama,Joseph L. Mankiewicz,Sol C. Siegel,Alfred Newman,Vera Caspary,Twentieth Century Fox Film Corporation
movie-180,"Final Girls, The",2015,Comedy,Todd Strauss-Schulson,Darren M. Demetre,Gregory James Jenkins,M.A. Fortin,Sony Pictures Worldwide Acquisitions (SPWA)
movie-181,"Little Princess, A",1995,Drama,Alfonso Cuar?n,Alan C. Blomquist,Patrick Doyle,Frances Hodgson Burnett,Warner Bros.
movie-182,"Little Romance, A",1979,Adventure,George Roy Hill,Robert Crawford Jr,Georges Delerue,Allan Burns,Orion Pictures
movie-183,"Lot Like Love, A",2005,Comedy,Nigel Cole,Armyan Bernstein,Alex Wurman,Colin Patrick Lynch,Walt Disney Company
movie-184,"Love Song for Bobby Long, A",2004,Drama,Shainee Gabel,Anson Downes,Nathan Larson,Ronald Everett Capps,Lucky Red
movie-185,"Man Called Horse, A",1970,Adventure,Elliot Silverstein,Frank Brill,Leonard Rosenman,Jack DeWitt,National General Pictures
movie-186,"Man for All Seasons, A",1966,Biography,Fred Zinnemann,William N. Graf,Georges Delerue,Robert Bolt,Columbia Pictures Corporation
movie-187,"Map for Saturday, A",2007,Documentary,Brook Silva-Braga,Brook Silva-Braga,Jimmy Khoury,Brook Silva-Braga,Defiance Distribution
movie-188,"Matter of Life and Death, A",1946,Drama,Michael Powell,George R. Busby,Allan Gray,Michael Powell,General Film Distributors (GFD)
movie-189,"Matter of Loaf and Death, A",2008,Animation,Nick Park,Miles Bullough,Julian Nott,Nick Park,British Broadcasting Corporation (BBC)
movie-190,"Midnight Clear, A",1992,Drama,Keith Gordon,Marc Abraham,Mark Isham,William Wharton,Chapel Distribution
movie-191,"Midsummer Night's Dream, A",1999,Comedy,Michael Hoffman,Nigel Goldsack,Simon Boswell,William Shakespeare,Twentieth Century Fox Film Corporation
movie-192,"Mighty Heart, A",2007,Biography,Michael Winterbottom,Andrew Eaton,Harry Escott,John Orloff,Paramount Vantage
movie-193,"Most Violent Year, A",2014,Action,J.C. Chandor,Glen Basner,Alex Ebert,J.C. Chandor,A24
movie-194,"Most Wanted Man, A",2014,Crime,Anton Corbijn,Andrea Calderwood,Herbert Gr?nemeyer,Andrew Bovell,Cathay-Keris Films
movie-195,"M?zga csal?d k?l?n?s kalandjai, A",1969,Animation,J?zsef Nepp,<none>,Tam?s De?k,J?zsef Nepp,RTL Entertainment
movie-196,"Nero Wolfe Mystery, A",2000,Action,Timothy Hutton,Howard Braunstein,Michael Small,Rex Stout,A&E Television Networks
movie-197,"Night at the Opera, A",1935,Comedy,Sam Wood,Irving Thalberg,Herbert Stothart,George S. Kaufman,Metro-Goldwyn-Mayer (MGM)
movie-198,"Night in Casablanca, A",1946,Comedy,Archie Mayo,David L. Loew,Werner Janssen,Joseph Fields,United Artists
movie-199,"Night to Remember, A",1958,Action,Roy Ward Baker,William MacQuitty,William Alwyn,Walter Lord,Rank Film Distributors
movie-200,"Nightmare on Elm Street, A",1984,Horror,Wes Craven,John H. Burrows,Charles Bernstein,Wes Craven,New Line Cinema
movie-201,"Nightmare on Elm Street 3: Dream Warriors, A",1987,Horror,Chuck Russell,Wes Craven,Angelo Badalamenti,Wes Craven,New Line Cinema
movie-202,"Passage to India, A",1984,Adventure,David Lean,John Brabourne,Maurice Jarre,E.M. Forster,Columbia Pictures
movie-203,"Patch of Blue, A",1965,Drama,Guy Green,Pandro S. Berman,Jerry Goldsmith,Elizabeth Kata,Metro-Goldwyn-Mayer (MGM)
movie-204,"Perfect Getaway, A",2009,Adventure,David Twohy,Robert Bernacchi,Boris Elkis,David Twohy,A-Film Distribution
